 IP Address: 66.135.99.250 	 Port: 23 	 SSL: No 	 Hostname: ftp.dragonflyserver.com
 IP Address: 66.228.129.117 	 Port: 23 	 SSL: No 	 Hostname: not found
 IP Address: 66.238.234.110 	 Port: 23 	 SSL: No 	 Hostname: 66.238.234.110.ptr.us.xo.net
 IP Address: 66.252.186.222 	 Port: 23 	 SSL: No 	 Hostname: p390.themisinc.com
 IP Address: 67.218.99.131 	 Port: 23 	 SSL: No 	 Hostname: 67-218-99-131.cust.layer42.net
 IP Address: 67.218.99.132 	 Port: 23 	 SSL: No 	 Hostname: 67-218-99-132.cust.layer42.net
 IP Address: 70.164.255.195 	 Port: 23 	 SSL: No 	 Hostname: wsip-70-164-255-195.dc.dc.cox.net
 IP Address: 71.191.86.90 	 Port: 23 	 SSL: No 	 Hostname: static-71-191-86-90.washdc.fios.verizon.net
 IP Address: 72.237.170.23 	 Port: 23 	 SSL: No 	 Hostname: not found
 IP Address: 74.168.206.164 	 Port: 23 	 SSL: No 	 Hostname: adsl-074-168-206-164.sip.rmo.bellsouth.net
 IP Address: 74.174.202.15 	 Port: 23 	 SSL: No 	 Hostname: not found
 IP Address: 77.88.106.3 	 Port: 23 	 SSL: No 	 Hostname: www.autodata.no
 IP Address: 79.172.240.141 	 Port: 23 	 SSL: No 	 Hostname: specivm.icss.hu
 IP Address: 81.80.140.164 	 Port: 23 	 SSL: No 	 Hostname: not found
 IP Address: 82.221.36.65 	 Port: 23 	 SSL: No 	 Hostname: px-mvs1.skyrr.is
 IP Address: 85.18.27.252 	 Port: 23 	 SSL: No 	 Hostname: 85-18-27-252.ip.fastwebnet.it
 IP Address: 88.79.177.123 	 Port: 23 	 SSL: No 	 Hostname: business-088-079-177-123.static.arcor-ip.net
 IP Address: 98.114.88.14 	 Port: 23 	 SSL: No 	 Hostname: static-98-114-88-14.phlapa.fios.verizon.net
 IP Address: 148.100.80.70 	 Port: 1023 	 SSL: No 	 Hostname: zos7.kctr.marist.edu
 IP Address: 128.186.217.2 	 Port: 2323 	 SSL: No 	 Hostname: nwalt.fsu.edu
 IP Address: 131.216.221.21 	 Port: 2323 	 SSL: No 	 Hostname: scorpion.nevada.edu
 IP Address: 131.216.221.24 	 Port: 2323 	 SSL: No 	 Hostname: raptor.nevada.edu
 IP Address: 199.44.72.2 	 Port: 2323 	 SSL: No 	 Hostname: nwr.nwrdc.fsu.edu
 IP Address: 199.44.72.3 	 Port: 2323 	 SSL: No 	 Hostname: not found
 IP Address: 128.231.64.34 	 Port: 23 	 SSL: Yes 	 Hostname: tn3270.cu.nih.gov
 IP Address: 130.184.5.80 	 Port: 23 	 SSL: Yes 	 Hostname: admin.uark.edu
 IP Address: 130.39.253.200 	 Port: 23 	 SSL: Yes 	 Hostname: lsumvs.sncc.lsu.edu
 IP Address: 131.216.221.18 	 Port: 23 	 SSL: Yes 	 Hostname: mustang.nevada.edu
 IP Address: 131.216.221.21 	 Port: 23 	 SSL: Yes 	 Hostname: scorpion.nevada.edu
 IP Address: 131.216.221.24 	 Port: 23 	 SSL: Yes 	 Hostname: raptor.nevada.edu
 IP Address: 134.197.221.18 	 Port: 23 	 SSL: Yes 	 Hostname: bighorn.scsr.nevada.edu
 IP Address: 134.2.14.211 	 Port: 23 	 SSL: Yes 	 Hostname: frodo.informatik.uni-tuebingen.de
 IP Address: 134.2.205.54 	 Port: 23 	 SSL: Yes 	 Hostname: u-205-chobbit.cs.uni-tuebingen.de
 IP Address: 137.99.26.5 	 Port: 23 	 SSL: Yes 	 Hostname: uconnmvs.uconn.edu
 IP Address: 138.47.18.39 	 Port: 23 	 SSL: Yes 	 Hostname: os390.latech.edu
 IP Address: 167.192.62.210 	 Port: 23 	 SSL: Yes 	 Hostname: not found
 IP Address: 168.254.2.10 	 Port: 23 	 SSL: Yes 	 Hostname: sdhc10.sdhc.k12.fl.us
 IP Address: 198.81.193.6 	 Port: 23 	 SSL: Yes 	 Hostname: dtsc.dfw.ibm.com
 IP Address: 200.187.0.40 	 Port: 23 	 SSL: Yes 	 Hostname: cpu000041.ba.gov.br
 IP Address: 128.135.19.10 	 Port: 992 	 SSL: Yes 	 Hostname: uchimvs1.uchicago.edu
 IP Address: 128.148.18.13 	 Port: 992 	 SSL: Yes 	 Hostname: brownmvscit.brown.edu
 IP Address: 128.148.18.14 	 Port: 992 	 SSL: Yes 	 Hostname: mvstestcit.brown.edu
 IP Address: 128.148.18.63 	 Port: 992 	 SSL: Yes 	 Hostname: brownmvs.failover.admin.brown.edu
 IP Address: 128.148.18.64 	 Port: 992 	 SSL: Yes 	 Hostname: mvstest.failover.admin.brown.edu
